CelebelA	C	Ce	Cel	Cele	A	lA	elA	belA	NN
haiwei	h	ha	hai	haiw	i	ei	wei	iwei	PSP
meyZexera	m	me	mey	meyZ	a	ra	era	xera	NN
prawi	p	pr	pra	praw	i	wi	awi	rawi	PSP
apUrbara	a	ap	apU	apUr	a	ra	ara	bara	JJ
SraxXA	S	Sr	Sra	Srax	A	XA	xXA	axXA	NN
Cila	C	Ci	Cil	Cila	a	la	ila	Cila	VM
nA	n	nA	nA	nA	A	nA	nA	nA	NEG

baraFca	b	ba	bar	bara	a	ca	Fca	aFca	CC
kemana	k	ke	kem	kema	a	na	ana	mana	RP
yena	y	ye	yen	yena	a	na	ena	yena	RP
ekatA	e	ek	eka	ekat	A	tA	atA	katA	QC
biwqRNAra	b	bi	biw	biwq	a	ra	Ara	NAra	NN
BAba	B	BA	BAb	BAba	a	ba	Aba	BAba	NN
Cila	C	Ci	Cil	Cila	a	la	ila	Cila	VM

bOxixirA	b	bO	bOx	bOxi	A	rA	irA	xirA	NN
TAttA-wAmASA	T	TA	TAt	TAtt	A	SA	ASA	mASA	NN
karile	k	ka	kar	kari	e	le	ile	rile	VM
se	s	se	se	se	e	se	se	se	PRP
mane	m	ma	man	mane	e	ne	ane	mane	NN
mane	m	ma	man	mane	e	ne	ane	mane	RDP
rAga	r	rA	rAg	rAga	a	ga	Aga	rAga	NN
kariwa	k	ka	kar	kari	a	wa	iwa	riwa	JJ
GaniRTawA	G	Ga	Gan	Gani	A	wA	awA	TawA	NN
kariwe	k	ka	kar	kari	e	we	iwe	riwe	VM
Asile	A	As	Asi	Asil	e	le	ile	sile	VAUX
xUre	x	xU	xUr	xUre	e	re	Ure	xUre	NST
sariyZA	s	sa	sar	sari	A	ZA	yZA	iyZA	VM
yAiwa	y	yA	yAi	yAiw	a	wa	iwa	Aiwa	VAUX

mA	m	mA	mA	mA	A	mA	mA	mA	NN
Binna	B	Bi	Bin	Binn	a	na	nna	inna	JJ
Ara	A	Ar	Ara	Ara	a	ra	Ara	Ara	CC
kAhArao	k	kA	kAh	kAhA	o	ao	rao	Arao	NN
sebAyawna	s	se	seb	sebA	a	na	wna	awna	NN
wAhAra	w	wA	wAh	wAhA	a	ra	Ara	hAra	PRP
BAlai	B	BA	BAl	BAla	i	ai	lai	Alai	NN
lAgiwa	l	lA	lAg	lAgi	a	wa	iwa	giwa	VM
nA	n	nA	nA	nA	A	nA	nA	nA	NEG

kona	k	ko	kon	kona	a	na	ona	kona	QF
meyZe	m	me	mey	meyZ	e	Ze	yZe	eyZe	XC
kaleje	k	ka	kal	kale	e	je	eje	leje	NN
padZiyZA	p	pa	pad	padZ	A	ZA	yZA	iyZA	VM
ekajAmina	e	ek	eka	ekaj	a	na	ina	mina	NN
pAsa	p	pA	pAs	pAsa	a	sa	Asa	pAsa	NN
kariyZACe	k	ka	kar	kari	e	Ce	ACe	ZACe	VM
Sunile	S	Su	Sun	Suni	e	le	ile	nile	VM
se	s	se	se	se	e	se	se	se	PRP
KuSI	K	Ku	KuS	KuSI	I	SI	uSI	KuSI	JJ
haiwa	h	ha	hai	haiw	a	wa	iwa	aiwa	VM
nA	n	nA	nA	nA	A	nA	nA	nA	NEG
ebaM	e	eb	eba	ebaM	M	aM	baM	ebaM	CC
sexina	s	se	sex	sexi	a	na	ina	xina	NN
yaKana	y	ya	yaK	yaKa	a	na	ana	Kana	PRP
bilAwe	b	bi	bil	bilA	e	we	Awe	lAwe	NN
ihArA	i	ih	ihA	ihAr	A	rA	ArA	hArA	PRP
komadZa	k	ko	kom	koma	a	Za	dZa	adZa	NN
bAzXiyZA	b	bA	bAz	bAzX	A	ZA	yZA	iyZA	VM
rAjanEwika	r	rA	rAj	rAja	a	ka	ika	wika	JJ
aXikArera	a	aX	aXi	aXik	a	ra	era	rera	NN
janye	j	ja	jan	jany	e	ye	nye	anye	PSP
ladZAi	l	la	lad	ladZ	i	Ai	ZAi	dZAi	NN
kariweCila	k	ka	kar	kari	a	la	ila	Cila	VM
Kabarera	K	Ka	Kab	Kaba	a	ra	era	rera	NN
kAgaje	k	kA	kAg	kAga	e	je	aje	gaje	NN
sei-sakala	s	se	sei	sei-	a	la	ala	kala	DEM
kAhinI	k	kA	kAh	kAhi	I	nI	inI	hinI	NN
padZiyZA	p	pa	pad	padZ	A	ZA	yZA	iyZA	VM
wAhAra	w	wA	wAh	wAhA	a	ra	Ara	hAra	PRP
sarbAfga	s	sa	sar	sarb	a	ga	fga	Afga	NN
jbaliwe	j	jb	jba	jbal	e	we	iwe	liwe	VM
WAkiwa	W	WA	WAk	WAki	a	wa	iwa	kiwa	VAUX

wabe	w	wa	wab	wabe	e	be	abe	wabe	CC
ekatA	e	ek	eka	ekat	A	tA	atA	katA	QC
jinisa	j	ji	jin	jini	a	sa	isa	nisa	NN
Cila	C	Ci	Cil	Cila	a	la	ila	Cila	VM
wAhAra	w	wA	wAh	wAhA	a	ra	Ara	hAra	PRP
sbaBAbawaH	s	sb	sba	sbaB	H	aH	waH	awaH	RB
komala	k	ko	kom	koma	a	la	ala	mala	JJ
Baxra-hqxayZa	B	Ba	Bax	Baxr	a	Za	yZa	ayZa	NN

eiKAne	e	ei	eiK	eiKA	e	ne	Ane	KAne	PRP
se	s	se	se	se	e	se	se	se	DEM
naranArI-nirbiSeRe	n	na	nar	nara	e	Re	eRe	SeRe	NN
prANimAwrakei	p	pr	prA	prAN	i	ei	kei	akei	NN
awyanwa	a	aw	awy	awya	a	wa	nwa	anwa	INTF
BAlabAsiwa	B	BA	BAl	BAla	a	wa	iwa	siwa	JJ
kAhAkeo	k	kA	kAh	kAhA	o	eo	keo	Akeo	NN
kona	k	ko	kon	kona	a	na	ona	kona	QF
kAraNei	k	kA	kAr	kAra	i	ei	Nei	aNei	NN
byaWA	b	by	bya	byaW	A	WA	aWA	yaWA	NN
xiwe	x	xi	xiw	xiwe	e	we	iwe	xiwe	VM
wAhAra	w	wA	wAh	wAhA	a	ra	Ara	hAra	PRP
bAXiwa	b	bA	bAX	bAXi	a	wa	iwa	Xiwa	JJ

wAhAra	w	wA	wAh	wAhA	a	ra	Ara	hAra	PRP
ei	e	ei	ei	ei	i	ei	ei	ei	DEM
ekati	e	ek	eka	ekat	i	ti	ati	kati	QC
xurbalawAi	x	xu	xur	xurb	i	Ai	wAi	awAi	NN
ye	y	ye	ye	ye	e	ye	ye	ye	CC
BArawIke	B	BA	BAr	BAra	e	ke	Ike	wIke	NNP
aparAXI	a	ap	apa	apar	I	XI	AXI	rAXI	JJ
jAniyZAo	j	jA	jAn	jAni	o	Ao	ZAo	yZAo	NN
SeRa	S	Se	SeR	SeRa	a	Ra	eRa	SeRa	NN
paryanwa	p	pa	par	pary	a	wa	nwa	anwa	PSP
SAswi	S	SA	SAs	SAsw	i	wi	swi	Aswi	NN
xiwe	x	xi	xiw	xiwe	e	we	iwe	xiwe	VM
xeyZa	x	xe	xey	xeyZ	a	Za	yZa	eyZa	VAUX
nAi	n	nA	nAi	nAi	i	Ai	nAi	nAi	NEG
e	e	e	e	e	e	e	e	e	DEM
saMbAxa	s	sa	saM	saMb	a	xa	Axa	bAxa	NN
wAhAra	w	wA	wAh	wAhA	a	ra	Ara	hAra	PRP
agocara	a	ag	ago	agoc	a	ra	ara	cara	NN
Cila	C	Ci	Cil	Cila	a	la	ila	Cila	VM
nA	n	nA	nA	nA	A	nA	nA	nA	NEG

kinwu	k	ki	kin	kinw	u	wu	nwu	inwu	CC
puruRera	p	pu	pur	puru	a	ra	era	Rera	NN
yObana-ciwwawale	y	yO	yOb	yOba	e	le	ale	wale	NN
Arao	A	Ar	Ara	Arao	o	ao	rao	Arao	QF
