belA	b	be	bel	belA	A	lA	elA	belA	NN
ye	y	ye	ye	ye	e	ye	ye	ye	DEM
yAyZa	y	yA	yAy	yAyZ	a	Za	yZa	AyZa	VAUX

uTuna	u	uT	uTu	uTun	a	na	una	Tuna	NN

apUrba	a	ap	apU	apUr	a	ba	rba	Urba	JJ
coKa	c	co	coK	coKa	a	Ka	oKa	coKa	NN
ragadZAiyZA	r	ra	rag	raga	A	ZA	yZA	iyZA	VM
uTiyZA	u	uT	uTi	uTiy	A	ZA	yZA	iyZA	VM
basila	b	ba	bas	basi	a	la	ila	sila	VAUX

xeyZAlera	x	xe	xey	xeyZ	a	ra	era	lera	NN
GadZira	G	Ga	Gad	GadZ	a	ra	ira	Zira	NN
prawi	p	pr	pra	praw	i	wi	awi	rawi	PSP
cAhiyZA	c	cA	cAh	cAhi	A	ZA	yZA	iyZA	NN
kahila	k	ka	kah	kahi	a	la	ila	hila	VM
isa	i	is	isa	isa	a	sa	isa	isa	NN

wina-cAra	w	wi	win	wina	a	ra	Ara	cAra	QC
GaNtAra	G	Ga	GaN	GaNt	a	ra	Ara	tAra	NN
kama	k	ka	kam	kama	a	ma	ama	kama	JJ
nayZa	n	na	nay	nayZ	a	Za	yZa	ayZa	VM

AmAke	A	Am	AmA	AmAk	e	ke	Ake	mAke	PRP
wule	w	wu	wul	wule	e	le	ule	wule	VM
xenani	x	xe	xen	xena	i	ni	ani	nani	VAUX
kena	k	ke	ken	kena	a	na	ena	kena	WQ

bAH	b	bA	bAH	bAH	H	AH	bAH	bAH	XC
mAWAyZa	m	mA	mAW	mAWA	a	Za	yZa	AyZa	NN
ekatA	e	ek	eka	ekat	A	tA	atA	katA	QC
bAliSa	b	bA	bAl	bAli	a	Sa	iSa	liSa	NN
paryanwa	p	pa	par	pary	a	wa	nwa	anwa	PSP
kaKana	k	ka	kaK	kaKa	a	na	ana	Kana	WQ
xiyZe	x	xi	xiy	xiyZ	e	Ze	yZe	iyZe	VM
xiyZeCena	x	xi	xiy	xiyZ	a	na	ena	Cena	VAUX

ewe	e	ew	ewe	ewe	e	we	ewe	ewe	PRP
ki	k	ki	ki	ki	i	ki	ki	ki	WQ
Ara	A	Ar	Ara	Ara	a	ra	Ara	Ara	RP
kArao	k	kA	kAr	kAra	o	ao	rao	Arao	PRP
Guma	G	Gu	Gum	Guma	a	ma	uma	Guma	NN
BAfge	B	BA	BAf	BAfg	e	ge	fge	Afge	VM

BArawI	B	BA	BAr	BAra	I	wI	awI	rawI	NNP
kahila	k	ka	kah	kahi	a	la	ila	hila	JJ
Guma	G	Gu	Gum	Guma	a	ma	uma	Guma	NN
BAfgabAra	B	BA	BAf	BAfg	a	ra	Ara	bAra	VM
hale	h	ha	hal	hale	e	le	ale	hale	VAUX
waKani	w	wa	waK	waKa	i	ni	ani	Kani	PRP
BAfgawo	B	BA	BAf	BAfg	o	wo	awo	gawo	VM

etA	e	et	etA	etA	A	tA	etA	etA	PRP
nA	n	nA	nA	nA	A	nA	nA	nA	NEG
xile	x	xi	xil	xile	e	le	ile	xile	VM
mAJe	m	mA	mAJ	mAJe	e	Je	AJe	mAJe	NN
Weke	W	We	Wek	Weke	e	ke	eke	Weke	PSP
GAdZe	G	GA	GAd	GAdZ	e	Ze	dZe	AdZe	NN
SuXu	S	Su	SuX	SuXu	u	Xu	uXu	SuXu	RB
ekatA	e	ek	eka	ekat	A	tA	atA	katA	QC
byaWA	b	by	bya	byaW	A	WA	aWA	yaWA	NN
hawo	h	ha	haw	hawo	o	wo	awo	hawo	VM

yAna	y	yA	yAn	yAna	a	na	Ana	yAna	VM
muKa-hAwa	m	mu	muK	muKa	a	wa	Awa	hAwa	NN
XuyZe	X	Xu	Xuy	XuyZ	e	Ze	yZe	uyZe	VM
Asuna	A	As	Asu	Asun	a	na	una	suna	VAUX
sarakAramaSAyZa	s	sa	sar	sara	a	Za	yZa	AyZa	NN
jalaKAbArera	j	ja	jal	jala	a	ra	era	rera	NN
WAlA	W	WA	WAl	WAlA	A	lA	AlA	WAlA	NN
niyZe	n	ni	niy	niyZ	e	Ze	yZe	iyZe	PSP
xAzdZiyZe	x	xA	xAz	xAzd	e	Ze	yZe	iyZe	VM
ACena	A	AC	ACe	ACen	a	na	ena	Cena	VAUX
wAzra	w	wA	wAz	wAzr	a	ra	zra	Azra	PRP
Dera	D	De	Der	Dera	a	ra	era	Dera	QF
kAja	k	kA	kAj	kAja	a	ja	Aja	kAja	NN
ekatu	e	ek	eka	ekat	u	tu	atu	katu	RB
catapata	c	ca	cat	cata	a	ta	ata	pata	JJ
kare	k	ka	kar	kare	e	re	are	kare	VM
wAzke	w	wA	wAz	wAzk	e	ke	zke	Azke	PRP
Cuti	C	Cu	Cut	Cuti	i	ti	uti	Cuti	NN
xina	x	xi	xin	xina	a	na	ina	xina	NN

xbArera	x	xb	xbA	xbAr	a	ra	era	rera	NN
bAhire	b	bA	bAh	bAhi	e	re	ire	hire	NST
ye	y	ye	ye	ye	e	ye	ye	ye	DEM
lokati	l	lo	lok	loka	i	ti	ati	kati	NN
xAzdZAiyZA	x	xA	xAz	xAzd	A	ZA	yZA	iyZA	VM
Cila	C	Ci	Cil	Cila	a	la	ila	Cila	VAUX
muKa	m	mu	muK	muKa	a	Ka	uKa	muKa	NN
bAdZAiyZA	b	bA	bAd	bAdZ	A	ZA	yZA	iyZA	VM
se	s	se	se	se	e	se	se	se	PRP
wAhAra	w	wA	wAh	wAhA	a	ra	Ara	hAra	PRP
wbarA	w	wb	wba	wbar	A	rA	arA	barA	NN
nibexana	n	ni	nib	nibe	a	na	ana	xana	NN
