jalapaWe	j	ja	jal	jala	e	We	aWe	paWe	NN
SawrupakRIyZa	S	Sa	Saw	Sawr	a	Za	yZa	IyZa	JJ
jAhAjera	j	jA	jAh	jAhA	a	ra	era	jera	NN
gawiroXa	g	ga	gaw	gawi	a	Xa	oXa	roXa	NN
karibAra	k	ka	kar	kari	a	ra	Ara	bAra	VM
uxxeSye	u	ux	uxx	uxxe	e	ye	Sye	eSye	PSP
naxIra	n	na	nax	naxI	a	ra	Ira	xIra	NN
XAre	X	XA	XAr	XAre	e	re	Are	XAre	NST
Saharera	S	Sa	Sah	Saha	a	ra	era	rera	NN
SeRa	S	Se	SeR	SeRa	a	Ra	eRa	SeRa	NN
prAnwe	p	pr	prA	prAn	e	we	nwe	Anwe	NN
ekati	e	ek	eka	ekat	i	ti	ati	kati	QC
Cotarakamera	C	Co	Cot	Cota	a	ra	era	mera	NN
mAtira	m	mA	mAt	mAti	a	ra	ira	tira	NN
kellA	k	ke	kel	kell	A	lA	llA	ellA	NN
ACe	A	AC	ACe	ACe	e	Ce	ACe	ACe	VM
eKAne	e	eK	eKA	eKAn	e	ne	Ane	KAne	PRP
sipAhi-sAnwrI	s	si	sip	sipA	I	rI	wrI	nwrI	NN
aXika	a	aX	aXi	aXik	a	ka	ika	Xika	JJ
WAke	W	WA	WAk	WAke	e	ke	Ake	WAke	VM
nA	n	nA	nA	nA	A	nA	nA	nA	NEG
SuXu	S	Su	SuX	SuXu	u	Xu	uXu	SuXu	RB
byAtAri	b	by	byA	byAt	i	ri	Ari	tAri	NN
cAlanA	c	cA	cAl	cAla	A	nA	anA	lanA	NN
karibAra	k	ka	kar	kari	a	ra	Ara	bAra	VM
janya	j	ja	jan	jany	a	ya	nya	anya	PSP
kiCu	k	ki	kiC	kiCu	u	Cu	iCu	kiCu	QF
gorA-golanxAja	g	go	gor	gorA	a	ja	Aja	xAja	XC
byArAke	b	by	byA	byAr	e	ke	Ake	rAke	NNP
bAsa	b	bA	bAs	bAsa	a	sa	Asa	bAsa	NN
kare	k	ka	kar	kare	e	re	are	kare	VM

iMrejera	i	iM	iMr	iMre	a	ra	era	jera	NNP
ei	e	ei	ei	ei	i	ei	ei	ei	DEM
nirbiGna	n	ni	nir	nirb	a	na	Gna	iGna	JJ
SAnwira	S	SA	SAn	SAnw	a	ra	ira	wira	NN
xine	x	xi	xin	xine	e	ne	ine	xine	NN
biSeRa	b	bi	biS	biSe	a	Ra	eRa	SeRa	JJ
kadZAkadZi	k	ka	kad	kadZ	i	Zi	dZi	adZi	NN
eKAne	e	eK	eKA	eKAn	e	ne	Ane	KAne	PRP
Cila	C	Ci	Cil	Cila	a	la	ila	Cila	VM
nA	n	nA	nA	nA	A	nA	nA	nA	NEG

niReXa	n	ni	niR	niRe	a	Xa	eXa	ReXa	NN
ACe	A	AC	ACe	ACe	e	Ce	ACe	ACe	VM
anyamanaska	a	an	any	anya	a	ka	ska	aska	JJ
paWika	p	pa	paW	paWi	a	ka	ika	Wika	NN
keha	k	ke	keh	keha	a	ha	eha	keha	NN
wAhAra	w	wA	wAh	wAhA	a	ra	Ara	hAra	PRP
sImAnAra	s	sI	sIm	sImA	a	ra	Ara	nAra	NN
maXye	m	ma	maX	maXy	e	ye	Xye	aXye	NST
giyZA	g	gi	giy	giyZ	A	ZA	yZA	iyZA	VM
padZile	p	pa	pad	padZ	e	le	ile	Zile	VAUX
wAdZA	w	wA	wAd	wAdZ	A	ZA	dZA	AdZA	CC
kariyZAo	k	ka	kar	kari	o	Ao	ZAo	yZAo	VM
Ase	A	As	Ase	Ase	e	se	Ase	Ase	VAUX
kinwu	k	ki	kin	kinw	u	wu	nwu	inwu	CC
E	E	E	E	E	E	E	E	E	DEM
paryanwai	p	pa	par	pary	i	ai	wai	nwai	NN

ihArai	i	ih	ihA	ihAr	i	ai	rai	Arai	PRP
ekaXAre	e	ek	eka	ekaX	e	re	Are	XAre	NN
gACapAlAra	g	gA	gAC	gACa	a	ra	Ara	lAra	NN
maXye	m	ma	maX	maXy	e	ye	Xye	aXye	NST
pAWare	p	pA	pAW	pAWa	e	re	are	Ware	NN
bAzXAno	b	bA	bAz	bAzX	o	no	Ano	XAno	VM
ekatA	e	ek	eka	ekat	A	tA	atA	katA	QC
GAtera	G	GA	GAt	GAte	a	ra	era	tera	NN
mawa	m	ma	maw	mawa	a	wa	awa	mawa	PSP
ACe	A	AC	ACe	ACe	e	Ce	ACe	ACe	VM
hayZawa	h	ha	hay	hayZ	a	wa	awa	Zawa	RB
kona	k	ko	kon	kona	a	na	ona	kona	QF
ucca	u	uc	ucc	ucca	a	ca	cca	ucca	JJ
rAjakarmacArIra	r	rA	rAj	rAja	a	ra	Ira	rIra	NN
Agamana	A	Ag	Aga	Agam	a	na	ana	mana	NN
upalakRe	u	up	upa	upal	e	Re	kRe	akRe	NN
ihAra	i	ih	ihA	ihAr	a	ra	Ara	hAra	PRP
sqRti	s	sq	sqR	sqRt	i	ti	Rti	qRti	NN
haiyZA	h	ha	hai	haiy	A	ZA	yZA	iyZA	VM
WAkibe	W	WA	WAk	WAki	e	be	ibe	kibe	VAUX
kinwu	k	ki	kin	kinw	u	wu	nwu	inwu	CC
eKana	e	eK	eKa	eKan	a	na	ana	Kana	PRP
ihAra	i	ih	ihA	ihAr	a	ra	Ara	hAra	PRP
kAjao	k	kA	kAj	kAja	o	ao	jao	Ajao	NN
nAi	n	nA	nAi	nAi	i	Ai	nAi	nAi	VM
prayZojanao	p	pr	pra	pray	o	ao	nao	anao	NN
nAi	n	nA	nAi	nAi	i	Ai	nAi	nAi	VM

BArawI	B	BA	BAr	BAra	I	wI	awI	rawI	NNP
mAJe	m	mA	mAJ	mAJe	e	Je	AJe	mAJe	NST
mAJe	m	mA	mAJ	mAJe	e	Je	AJe	mAJe	RDP
ekAkI	e	ek	ekA	ekAk	I	kI	AkI	kAkI	NN
AsiyZA	A	As	Asi	Asiy	A	ZA	yZA	iyZA	VM
eKAne	e	eK	eKA	eKAn	e	ne	Ane	KAne	PRP
basiwa	b	ba	bas	basi	a	wa	iwa	siwa	VM

kellAra	k	ke	kel	kell	a	ra	Ara	lAra	NNP
rakRaNAbekRaNera	r	ra	rak	rakR	a	ra	era	Nera	NN
BAra	B	BA	BAr	BAra	a	ra	Ara	BAra	NN
yAhAxera	y	yA	yAh	yAhA	a	ra	era	xera	PRP
prawi	p	pr	pra	praw	i	wi	awi	rawi	PSP
Cila	C	Ci	Cil	Cila	a	la	ila	Cila	VM
wAhAxera	w	wA	wAh	wAhA	a	ra	era	xera	PRP
keha	k	ke	keh	keha	a	ha	eha	keha	PRP
ye	y	ye	ye	ye	e	ye	ye	ye	RP
xeKe	x	xe	xeK	xeKe	e	Ke	eKe	xeKe	VM
nAi	n	nA	nAi	nAi	i	Ai	nAi	nAi	NEG
wAhA	w	wA	wAh	wAhA	A	hA	AhA	wAhA	PRP
nahe	n	na	nah	nahe	e	he	ahe	nahe	VM
samBabawa	s	sa	sam	samB	a	wa	awa	bawa	RB
swrIloka	s	sw	swr	swrI	a	ka	oka	loka	NN
baliyZA	b	ba	bal	bali	A	ZA	yZA	iyZA	VM
ebaM	e	eb	eba	ebaM	M	aM	baM	ebaM	CC
Baxra	B	Ba	Bax	Baxr	a	ra	xra	axra	JJ
swrIloka	s	sw	swr	swrI	a	ka	oka	loka	NN
baliyZAi	b	ba	bal	bali	i	Ai	ZAi	yZAi	UT
wAhArA	w	wA	wAh	wAhA	A	rA	ArA	hArA	PRP
Apawwi	A	Ap	Apa	Apaw	i	wi	wwi	awwi	NN
kariwa	k	ka	kar	kari	a	wa	iwa	riwa	VM
nA	n	nA	nA	nA	A	nA	nA	nA	NEG

boXa	b	bo	boX	boXa	a	Xa	oXa	boXa	NN
kari	k	ka	kar	kari	i	ri	ari	kari	VM
eimAwra	e	ei	eim	eimA	a	ra	wra	Awra	RB
sUryAswa	s	sU	sUr	sUry	a	wa	swa	Aswa	JJ
haiyZA	h	ha	hai	haiy	A	ZA	yZA	iyZA	VM
WAkibe	W	WA	WAk	WAki	e	be	ibe	kibe	VAUX
kinwu	k	ki	kin	kinw	u	wu	nwu	inwu	CC
anXakAra	a	an	anX	anXa	a	ra	Ara	kAra	NN
haiwe	h	ha	hai	haiw	e	we	iwe	aiwe	PSP
waKanao	w	wa	waK	waKa	o	ao	nao	anao	PRP
kiCu	k	ki	kiC	kiCu	u	Cu	iCu	kiCu	QF
bilamba	b	bi	bil	bila	a	ba	mba	amba	NN
Cila	C	Ci	Cil	Cila	a	la	ila	Cila	VM

naxIra	n	na	nax	naxI	a	ra	Ira	xIra	NN
kawaka	k	ka	kaw	kawa	a	ka	aka	waka	QF
aMSe	a	aM	aMS	aMSe	e	Se	MSe	aMSe	NN
ebaM	e	eb	eba	ebaM	M	aM	baM	ebaM	CC
parapArabarwI	p	pa	par	para	I	wI	rwI	arwI	JJ
gACapAlAra	g	gA	gAC	gACa	a	ra	Ara	lAra	NN
upare	u	up	upa	upar	e	re	are	pare	NST
SeRa	S	Se	SeR	SeRa	a	Ra	eRa	SeRa	NN
sbarNABA	s	sb	sba	sbar	A	BA	ABA	NABA	NN
CadZAiyZA	C	Ca	Cad	CadZ	A	ZA	yZA	iyZA	VM
padZiyZACe	p	pa	pad	padZ	e	Ce	ACe	ZACe	VAUX
xale	x	xa	xal	xale	e	le	ale	xale	NN
xale	x	xa	xal	xale	e	le	ale	xale	RDP
pAKira	p	pA	pAK	pAKi	a	ra	ira	Kira	NN
sAri	s	sA	sAr	sAri	i	ri	Ari	sAri	NN
exika	e	ex	exi	exik	a	ka	ika	xika	NN
haiwe	h	ha	hai	haiw	e	we	iwe	aiwe	PSP
oxike	o	ox	oxi	oxik	e	ke	ike	xike	NN
udZiyZA	u	ud	udZ	udZi	A	ZA	yZA	iyZA	VM
caliyZACe	c	ca	cal	cali	e	Ce	ACe	ZACe	VAUX
kAkera	k	kA	kAk	kAke	a	ra	era	kera	NN
kAlo	k	kA	kAl	kAlo	o	lo	Alo	kAlo	JJ
xehe	x	xe	xeh	xehe	e	he	ehe	xehe	NN
bakera	b	ba	bak	bake	a	ra	era	kera	NN
sAxA	s	sA	sAx	sAxA	A	xA	AxA	sAxA	JJ
pAlake	p	pA	pAl	pAla	e	ke	ake	lake	NN
GuGura	G	Gu	GuG	GuGu	a	ra	ura	Gura	NN
biciwra	b	bi	bic	bici	a	ra	wra	iwra	JJ
pANdura	p	pA	pAN	pANd	a	ra	ura	dura	NN
sarbAfge	s	sa	sar	sarb	e	ge	fge	Afge	RB
AkASera	A	Ak	AkA	AkAS	a	ra	era	Sera	NN
rAfgA	r	rA	rAf	rAfg	A	gA	fgA	AfgA	JJ
Alo	A	Al	Alo	Alo	o	lo	Alo	Alo	NN
miSiyZA	m	mi	miS	miSi	A	ZA	yZA	iyZA	VM
haTA	h	ha	haT	haTA	A	TA	aTA	haTA	RB
