naxIpaWe	n	na	nax	naxI	e	We	aWe	paWe	NN
samaswakRaNa	s	sa	sam	sama	a	Na	aNa	RaNa	XC
BArawIra	B	BA	BAr	BAra	a	ra	Ira	wIra	NNP
mana	m	ma	man	mana	a	na	ana	mana	NN
kawa-ki	k	ka	kaw	kawa	i	ki	-ki	a-ki	WQ
BAbanAi	B	BA	BAb	BAba	i	Ai	nAi	anAi	NN
ye	y	ye	ye	ye	e	ye	ye	ye	DEM
BAbiwe	B	BA	BAb	BAbi	e	we	iwe	biwe	NN
lAgila	l	lA	lAg	lAgi	a	la	ila	gila	VM
wAhAra	w	wA	wAh	wAhA	a	ra	Ara	hAra	PRP
nirxeSa	n	ni	nir	nirx	a	Sa	eSa	xeSa	NN
nAi	n	nA	nAi	nAi	i	Ai	nAi	nAi	VM

aXikAMSai	a	aX	aXi	aXik	i	ai	Sai	MSai	NN
elomelo	e	el	elo	elom	o	lo	elo	melo	VM
SuXu	S	Su	SuX	SuXu	u	Xu	uXu	SuXu	RB
ye	y	ye	ye	ye	e	ye	ye	ye	DEM
cinwAtA	c	ci	cin	cinw	A	tA	AtA	wAtA	NN
mAJe	m	mA	mAJ	mAJe	e	Je	AJe	mAJe	NST
mAJe	m	mA	mAJ	mAJe	e	Je	AJe	mAJe	RDP
AsiyZA	A	As	Asi	Asiy	A	ZA	yZA	iyZA	VM
wAhAke	w	wA	wAh	wAhA	e	ke	Ake	hAke	PRP
saba	s	sa	sab	saba	a	ba	aba	saba	PRP
ceyZe	c	ce	cey	ceyZ	e	Ze	yZe	eyZe	PSP
beSI	b	be	beS	beSI	I	SI	eSI	beSI	JJ
XAkkA	X	XA	XAk	XAkk	A	kA	kkA	AkkA	NN
xiyZA	x	xi	xiy	xiyZ	A	ZA	yZA	iyZA	VM
gela	g	ge	gel	gela	a	la	ela	gela	VAUX
se	s	se	se	se	e	se	se	se	DEM
sumiwrAra	s	su	sum	sumi	a	ra	Ara	rAra	NN
iwibqwwa	i	iw	iwi	iwib	a	wa	wwa	qwwa	NN

wAhAra	w	wA	wAh	wAhA	a	ra	Ara	hAra	PRP
praWama	p	pr	pra	praW	a	ma	ama	Wama	QO
yObanera	y	yO	yOb	yOba	a	ra	era	nera	NN
xurBAgyamayZa	x	xu	xur	xurB	a	Za	yZa	ayZa	NN
aparUpa	a	ap	apa	apar	a	pa	Upa	rUpa	JJ
kAhinI	k	kA	kAh	kAhi	I	nI	inI	hinI	NN

