olo	o	ol	olo	olo	o	lo	olo	olo	NNP
sejaxi	s	se	sej	seja	i	xi	axi	jaxi	CC

acalA	a	ac	aca	acal	A	lA	alA	calA	JJ
pASera	p	pA	pAS	pASe	a	ra	era	Sera	NN
Gara	G	Ga	Gar	Gara	a	ra	ara	Gara	NN
haiwe	h	ha	hai	haiw	e	we	iwe	aiwe	PSP
byaswa	b	by	bya	byas	a	wa	swa	aswa	JJ
haiyZA	h	ha	hai	haiy	A	ZA	yZA	iyZA	VM
e	e	e	e	e	e	e	e	e	DEM
Gare	G	Ga	Gar	Gare	e	re	are	Gare	NN
AsiyZA	A	As	Asi	Asiy	A	ZA	yZA	iyZA	VM
padZila	p	pa	pad	padZ	a	la	ila	Zila	VAUX

mqNAlera	m	mq	mqN	mqNA	a	ra	era	lera	NN
komare	k	ko	kom	koma	e	re	are	mare	NN
Azcala	A	Az	Azc	Azca	a	la	ala	cala	NN
jadZAno	j	ja	jad	jadZ	o	no	Ano	ZAno	VM
se	s	se	se	se	e	se	se	se	PRP
ekatA	e	ek	eka	ekat	A	tA	atA	katA	QC
Cota	C	Co	Cot	Cota	a	ta	ota	Cota	JJ
xerAja	x	xe	xer	xerA	a	ja	Aja	rAja	NN
ekalAi	e	ek	eka	ekal	i	Ai	lAi	alAi	NN
tAnAtAni	t	tA	tAn	tAnA	i	ni	Ani	tAni	NN
kariyZA	k	ka	kar	kari	A	ZA	yZA	iyZA	VM
sojA	s	so	soj	sojA	A	jA	ojA	sojA	JJ
kariyZA	k	ka	kar	kari	A	ZA	yZA	iyZA	VM
rAKiweCila	r	rA	rAK	rAKi	a	la	ila	Cila	VAUX

acalA	a	ac	aca	acal	A	lA	alA	calA	JJ
Gare	G	Ga	Gar	Gare	e	re	are	Gare	NN
Dukiwei	D	Du	Duk	Duki	i	ei	wei	iwei	VM
se	s	se	se	se	e	se	se	se	PRP
mahA	m	ma	mah	mahA	A	hA	ahA	mahA	JJ
rAgawaBAbe	r	rA	rAg	rAga	e	be	Abe	BAbe	NN
cezcAiyZA	c	ce	cez	cezc	A	ZA	yZA	iyZA	VM
uTila	u	uT	uTi	uTil	a	la	ila	Tila	VAUX
ore	o	or	ore	ore	e	re	ore	ore	RP
muKapodZA	m	mu	muK	muKa	A	ZA	dZA	odZA	JJ
meyZe	m	me	mey	meyZ	e	Ze	yZe	eyZe	NN
wumi	w	wu	wum	wumi	i	mi	umi	wumi	PRP
nabAbera	n	na	nab	nabA	a	ra	era	bera	NN
mawa	m	ma	maw	mawa	a	wa	awa	mawa	PSP
hAwa-pA	h	hA	hAw	hAwa	A	pA	-pA	a-pA	VM
gutiyZe	g	gu	gut	guti	e	Ze	yZe	iyZe	VAUX
base	b	ba	bas	base	e	se	ase	base	VM
WAkabe	W	WA	WAk	WAka	e	be	abe	kabe	VAUX
Ara	A	Ar	Ara	Ara	a	ra	Ara	Ara	CC
Ami	A	Am	Ami	Ami	i	mi	Ami	Ami	PRP
womAra	w	wo	wom	womA	a	ra	Ara	mAra	PRP
SobAra	S	So	Sob	SobA	a	ra	Ara	bAra	VM
Gara	G	Ga	Gar	Gara	a	ra	ara	Gara	NN
guCiyZe	g	gu	guC	guCi	e	Ze	yZe	iyZe	VM
xeba	x	xe	xeb	xeba	a	ba	eba	xeba	VAUX

nAo	n	nA	nAo	nAo	o	Ao	nAo	nAo	NEG
balaci	b	ba	bal	bala	i	ci	aci	laci	VM
oi	o	oi	oi	oi	i	oi	oi	oi	DEM
JAztAtA	J	JA	JAz	JAzt	A	tA	AtA	tAtA	NN
wule	w	wu	wul	wule	e	le	ule	wule	VM
E	E	E	E	E	E	E	E	E	DEM
koNatA	k	ko	koN	koNa	A	tA	atA	NatA	NN
pariRkAra	p	pa	par	pari	a	ra	Ara	kAra	NN
kare	k	ka	kar	kare	e	re	are	kare	VM
Pela	P	Pe	Pel	Pela	a	la	ela	Pela	VAUX

baliyZA	b	ba	bal	bali	A	ZA	yZA	iyZA	UT
hAsi	h	hA	hAs	hAsi	i	si	Asi	hAsi	NN
Ara	A	Ar	Ara	Ara	a	ra	Ara	Ara	CC
cApiwe	c	cA	cAp	cApi	e	we	iwe	piwe	NN
nA	n	nA	nA	nA	A	nA	nA	nA	NEG
pAriyZA	p	pA	pAr	pAri	A	ZA	yZA	iyZA	VM
KilaKila	K	Ki	Kil	Kila	a	la	ila	Kila	NN
kariyZA	k	ka	kar	kari	A	ZA	yZA	iyZA	VM
hAsiyZA	h	hA	hAs	hAsi	A	ZA	yZA	iyZA	VM
uTila	u	uT	uTi	uTil	a	la	ila	Tila	VAUX

cezcAmeci	c	ce	cez	cezc	i	ci	eci	meci	NN
SuniyZA	S	Su	Sun	Suni	A	ZA	yZA	iyZA	VM
harira	h	ha	har	hari	a	ra	ira	rira	NNP
mAo	m	mA	mAo	mAo	o	Ao	mAo	mAo	NN
piCane	p	pi	piC	piCa	e	ne	ane	Cane	NST
piCane	p	pi	piC	piCa	e	ne	ane	Cane	NST
AsiyZACila	A	As	Asi	Asiy	a	la	ila	Cila	VM
se	s	se	se	se	e	se	se	se	PRP
kahila	k	ka	kah	kahi	a	la	ila	hila	VM
womAra	w	wo	wom	womA	a	ra	Ara	mAra	PRP
eka-kaWA	e	ek	eka	eka-	A	WA	aWA	kaWA	NN
xixi	x	xi	xix	xixi	i	xi	ixi	xixi	NN

bAdZiwe	b	bA	bAd	bAdZ	e	we	iwe	Ziwe	NN
kawa	k	ka	kaw	kawa	a	wa	awa	kawa	QF
gaNdA	g	ga	gaN	gaNd	A	dA	NdA	aNdA	NN
xAsaxAsI	x	xA	xAs	xAsa	I	sI	AsI	xAsI	JJ
xiximaNira	x	xi	xix	xixi	a	ra	ira	Nira	NN
ki	k	ki	ki	ki	i	ki	ki	ki	WQ
konaxina	k	ko	kon	kona	a	na	ina	xina	NN
JAztA	J	JA	JAz	JAzt	A	tA	ztA	AztA	VM
hAwe	h	hA	hAw	hAwe	e	we	Awe	hAwe	NN
karA	k	ka	kar	karA	A	rA	arA	karA	VM
aByAsa	a	aB	aBy	aByA	a	sa	Asa	yAsa	NN
ACe	A	AC	ACe	ACe	e	Ce	ACe	ACe	VM
nAki	n	nA	nAk	nAki	i	ki	Aki	nAki	RP
ye	y	ye	ye	ye	e	ye	ye	ye	DEM
Aja	A	Aj	Aja	Aja	a	ja	Aja	Aja	NN
pAdZAgAzyZera	p	pA	pAd	pAdZ	a	ra	era	Zera	NN
meyZexera	m	me	mey	meyZ	a	ra	era	xera	NN
mawa	m	ma	maw	mawa	a	wa	awa	mawa	PSP
