waKanao	w	wa	waK	waKa	o	ao	nao	anao	PRP
kexArabAbu	k	ke	kex	kexA	u	bu	Abu	bAbu	NNP
AgekAra	A	Ag	Age	Agek	a	ra	Ara	kAra	NN
sbAsWya	s	sb	sbA	sbAs	a	ya	Wya	sWya	NN
PiriyZA	P	Pi	Pir	Piri	A	ZA	yZA	iyZA	VM
pAna	p	pA	pAn	pAna	a	na	Ana	pAna	NN
nAi	n	nA	nAi	nAi	i	Ai	nAi	nAi	VM

KAoyZA-xAoyZAra	K	KA	KAo	KAoy	a	ra	Ara	ZAra	VM
pare	p	pa	par	pare	e	re	are	pare	NST
AsiyZA	A	As	Asi	Asiy	A	ZA	yZA	iyZA	VM
bArAnxAyZa	b	bA	bAr	bArA	a	Za	yZa	AyZa	NN
ekaKAnA	e	ek	eka	ekaK	A	nA	AnA	KAnA	QC
iji-ceyZAre	i	ij	iji	iji-	e	re	Are	ZAre	NN
padZiyZA	p	pa	pad	padZ	A	ZA	yZA	iyZA	VM
Kabarera	K	Ka	Kab	Kaba	a	ra	era	rera	NN
kAgaja	k	kA	kAg	kAga	a	ja	aja	gaja	NN
padZiwe	p	pa	pad	padZ	e	we	iwe	Ziwe	NN
padZiwe	p	pa	pad	padZ	e	we	iwe	Ziwe	NN
hayZawa	h	ha	hay	hayZ	a	wa	awa	Zawa	RB
ekatu	e	ek	eka	ekat	u	tu	atu	katu	QF
wanxrABiBUwa	w	wa	wan	wanx	a	wa	Uwa	BUwa	JJ
haiyZACilena	h	ha	hai	haiy	a	na	ena	lena	VM
xarajAyZa	x	xa	xar	xara	a	Za	yZa	AyZa	NN
TikA	T	Ti	Tik	TikA	A	kA	ikA	TikA	JJ
gAdZira	g	gA	gAd	gAdZ	a	ra	ira	Zira	NN
kaTora	k	ka	kaT	kaTo	a	ra	ora	Tora	JJ
Sabxe	S	Sa	Sab	Sabx	e	xe	bxe	abxe	NN
coKa	c	co	coK	coKa	a	Ka	oKa	coKa	NN
meliyZA	m	me	mel	meli	A	ZA	yZA	iyZA	VM
xeKilena	x	xe	xeK	xeKi	a	na	ena	lena	VM
sureSa	s	su	sur	sure	a	Sa	eSa	reSa	NN
ebaM	e	eb	eba	ebaM	M	aM	baM	ebaM	CC
safge	s	sa	saf	safg	e	ge	fge	afge	RB
safgei	s	sa	saf	safg	i	ei	gei	fgei	RDP
wAzhAra	w	wA	wAz	wAzh	a	ra	Ara	hAra	PRP
kanyA	k	ka	kan	kany	A	yA	nyA	anyA	NN
o	o	o	o	o	o	o	o	o	CC
Ji	J	Ji	Ji	Ji	i	Ji	Ji	Ji	XC
abawaraNa	a	ab	aba	abaw	a	Na	aNa	raNa	NN
karila	k	ka	kar	kari	a	la	ila	rila	VM

Gumera	G	Gu	Gum	Gume	a	ra	era	mera	NN
Jozka	J	Jo	Joz	Jozk	a	ka	zka	ozka	NN
wAzhAra	w	wA	wAz	wAzh	a	ra	Ara	hAra	PRP
nimiRe	n	ni	nim	nimi	e	Re	iRe	miRe	NN
udZiyZA	u	ud	udZ	udZi	A	ZA	yZA	iyZA	VM
gela	g	ge	gel	gela	a	la	ela	gela	VAUX
ki	k	ki	ki	ki	i	ki	ki	ki	WQ
ekatA	e	ek	eka	ekat	A	tA	atA	katA	QC
ajFAwa	a	aj	ajF	ajFA	a	wa	Awa	FAwa	JJ
SafkAyZa	S	Sa	Saf	Safk	a	Za	yZa	AyZa	NN
SaSabyaswe	S	Sa	SaS	SaSa	e	we	swe	aswe	NN
uTiyZA	u	uT	uTi	uTiy	A	ZA	yZA	iyZA	VM
padZiyZA	p	pa	pad	padZ	A	ZA	yZA	iyZA	VM
galA	g	ga	gal	galA	A	lA	alA	galA	NN
bAdZAiyZA	b	bA	bAd	bAdZ	A	ZA	yZA	iyZA	VM
cikAra	c	ci	cik	cikA	a	ra	Ara	kAra	NN
karilena	k	ka	kar	kari	a	na	ena	lena	VM
acalA	a	ac	aca	acal	A	lA	alA	calA	JJ
ye	y	ye	ye	ye	e	ye	ye	ye	CC

sureSa	s	su	sur	sure	a	Sa	eSa	reSa	NN
wumi	w	wu	wum	wumi	i	mi	umi	wumi	PRP
koWA	k	ko	koW	koWA	A	WA	oWA	koWA	WQ
Weke	W	We	Wek	Weke	e	ke	eke	Weke	PSP

ki	k	ki	ki	ki	i	ki	ki	ki	WQ
byApAra	b	by	byA	byAp	a	ra	Ara	pAra	NN
ki	k	ki	ki	ki	i	ki	ki	ki	WQ

e-saba	e	e-	e-s	e-sa	a	ba	aba	saba	PRP
ki	k	ki	ki	ki	i	ki	ki	ki	WQ
kANda-kAraKAnA	k	kA	kAN	kANd	A	nA	AnA	KAnA	NN
Ami	A	Am	Ami	Ami	i	mi	Ami	Ami	PRP
wa	w	wa	wa	wa	a	wa	wa	wa	NN
kiCu	k	ki	kiC	kiCu	u	Cu	iCu	kiCu	QF
buJawe	b	bu	buJ	buJa	e	we	awe	Jawe	VM
pArine	p	pA	pAr	pAri	e	ne	ine	rine	VAUX

acalA	a	ac	aca	acal	A	lA	alA	calA	JJ
uTiyZA	u	uT	uTi	uTiy	A	ZA	yZA	iyZA	NN
AsiyZA	A	As	Asi	Asiy	A	ZA	yZA	iyZA	VM
piwAra	p	pi	piw	piwA	a	ra	Ara	wAra	NN
paxaXUli	p	pa	pax	paxa	i	li	Uli	XUli	NN
grahaNa	g	gr	gra	grah	a	Na	aNa	haNa	NN
karila	k	ka	kar	kari	a	la	ila	rila	VM

sureSa	s	su	sur	sure	a	Sa	eSa	reSa	NN
praNAma	p	pr	pra	praN	a	ma	Ama	NAma	NN
kariyZA	k	ka	kar	kari	A	ZA	yZA	iyZA	VM
kahila	k	ka	kah	kahi	a	la	ila	hila	JJ
mahimera	m	ma	mah	mahi	a	ra	era	mera	NN
teligrAPa	t	te	tel	teli	a	Pa	APa	rAPa	NN
pAnani	p	pA	pAn	pAna	i	ni	ani	nani	VM

kexArabAbu	k	ke	kex	kexA	u	bu	Abu	bAbu	NNP
uxbignamuKe	u	ux	uxb	uxbi	e	Ke	uKe	muKe	NN
kahilena	k	ka	kah	kahi	a	na	ena	lena	VM
kE	k	kE	kE	kE	E	kE	kE	kE	VAUX
nA	n	nA	nA	nA	A	nA	nA	nA	NEG

sureSa	s	su	sur	sure	a	Sa	eSa	reSa	NN
ekaKAnA	e	ek	eka	ekaK	A	nA	AnA	KAnA	QC
cOki	c	cO	cOk	cOki	i	ki	Oki	cOki	NN
tAniyZA	t	tA	tAn	tAni	A	ZA	yZA	iyZA	VM
laiyZA	l	la	lai	laiy	A	ZA	yZA	iyZA	VAUX
upabeSana	u	up	upa	upab	a	na	ana	Sana	NN
kariyZA	k	ka	kar	kari	A	ZA	yZA	iyZA	VM
balila	b	ba	bal	bali	a	la	ila	lila	VAUX
wA	w	wA	wA	wA	A	wA	wA	wA	PRP
hale	h	ha	hal	hale	e	le	ale	hale	VM
hayZa	h	ha	hay	hayZ	a	Za	yZa	ayZa	VAUX
se	s	se	se	se	e	se	se	se	PRP
teligrAPa	t	te	tel	teli	a	Pa	APa	rAPa	NN
karawe	k	ka	kar	kara	e	we	awe	rawe	VM
BuleCe	B	Bu	Bul	Bule	e	Ce	eCe	leCe	VAUX
nA	n	nA	nA	nA	A	nA	nA	nA	NEG
hayZa	h	ha	hay	hayZ	a	Za	yZa	ayZa	VM
eKano	e	eK	eKa	eKan	o	no	ano	Kano	PRP
ese	e	es	ese	ese	e	se	ese	ese	VM
pOzCAyZa	p	pO	pOz	pOzC	a	Za	yZa	AyZa	VAUX
ni	n	ni	ni	ni	i	ni	ni	ni	NEG

kexArabAbu	k	ke	kex	kexA	u	bu	Abu	bAbu	NNP
kahilena	k	ka	kah	kahi	a	na	ena	lena	VM
teligrAPa	t	te	tel	teli	a	Pa	APa	rAPa	NN
yAka	y	yA	yAk	yAka	a	ka	Aka	yAka	VM
byApAra	b	by	byA	byAp	a	ra	Ara	pAra	NN
ki	k	ki	ki	ki	i	ki	ki	ki	WQ
wAi	w	wA	wAi	wAi	i	Ai	wAi	wAi	CC
Age	A	Ag	Age	Age	e	ge	Age	Age	NST
bala	b	ba	bal	bala	a	la	ala	bala	VM
nA	n	nA	nA	nA	A	nA	nA	nA	NEG

wumi	w	wu	wum	wumi	i	mi	umi	wumi	PRP
exera	e	ex	exe	exer	a	ra	era	xera	PRP
koWA	k	ko	koW	koWA	A	WA	oWA	koWA	NN
Weke	W	We	Wek	Weke	e	ke	eke	Weke	PSP
niyZe	n	ni	niy	niyZ	e	Ze	yZe	iyZe	VM
ele	e	el	ele	ele	e	le	ele	ele	VAUX

sureSa	s	su	sur	sure	a	Sa	eSa	reSa	NN
balila	b	ba	bal	bali	a	la	ila	lila	VM
kAla	k	kA	kAl	kAla	a	la	Ala	kAla	NN
rAwriwe	r	rA	rAw	rAwr	e	we	iwe	riwe	NN
Aguna	A	Ag	Agu	Agun	a	na	una	guna	NN
lege	l	le	leg	lege	e	ge	ege	lege	VM
mahimera	m	ma	mah	mahi	a	ra	era	mera	NN
bAdZi	b	bA	bAd	bAdZ	i	Zi	dZi	AdZi	NN
pudZe	p	pu	pud	pudZ	e	Ze	dZe	udZe	VM
geCe	g	ge	geC	geCe	e	Ce	eCe	geCe	VAUX

bAdZi	b	bA	bAd	bAdZ	i	Zi	dZi	AdZi	NN
pudZe	p	pu	pud	pudZ	e	Ze	dZe	udZe	VM
geCe	g	ge	geC	geCe	e	Ce	eCe	geCe	VAUX

sarbanASa	s	sa	sar	sarb	a	Sa	ASa	nASa	NN

bala	b	ba	bal	bala	a	la	ala	bala	NN
ki	k	ki	ki	ki	i	ki	ki	ki	WQ
bAdZi	b	bA	bAd	bAdZ	i	Zi	dZi	AdZi	NN
pudZe	p	pu	pud	pudZ	e	Ze	dZe	udZe	VM
gela	g	ge	gel	gela	a	la	ela	gela	VAUX

kemana	k	ke	kem	kema	a	na	ana	mana	WQ
kare	k	ka	kar	kare	e	re	are	kare	RP
pudZala	p	pu	pud	pudZ	a	la	ala	Zala	VM

mahima	m	ma	mah	mahi	a	ma	ima	hima	JJ
kE	k	kE	kE	kE	E	kE	kE	kE	NN

wumi	w	wu	wum	wumi	i	mi	umi	wumi	PRP
exera	e	ex	exe	exer	a	ra	era	xera	PRP
pele	p	pe	pel	pele	e	le	ele	pele	VM
koWAyZa	k	ko	koW	koWA	a	Za	yZa	AyZa	WQ

eka	e	ek	eka	eka	a	ka	eka	eka	QC
niSbAse	n	ni	niS	niSb	e	se	Ase	bAse	NN
ewagulA	e	ew	ewa	ewag	A	lA	ulA	gulA	NN
praSna	p	pr	pra	praS	a	na	Sna	aSna	NN
