PiribAra	P	Pi	Pir	Piri	a	ra	Ara	bAra	JJ
paWe	p	pa	paW	paWe	e	We	aWe	paWe	NN
gAdZira	g	gA	gAd	gAdZ	a	ra	ira	Zira	NN
koNe	k	ko	koN	koNe	e	Ne	oNe	koNe	NN
mAWA	m	mA	mAW	mAWA	A	WA	AWA	mAWA	NN
rAKiyZA	r	rA	rAK	rAKi	A	ZA	yZA	iyZA	VM
coKa	c	co	coK	coKa	a	Ka	oKa	coKa	NN
bujiyZA	b	bu	buj	buji	A	ZA	yZA	iyZA	VM
acalA	a	ac	aca	acal	A	lA	alA	calA	JJ
ei	e	ei	ei	ei	i	ei	ei	ei	DEM
kaWAtAi	k	ka	kaW	kaWA	i	Ai	tAi	AtAi	NN
BAbiweCila	B	BA	BAb	BAbi	a	la	ila	Cila	VM
AjikAra	A	Aj	Aji	Ajik	a	ra	Ara	kAra	NN
ei	e	ei	ei	ei	i	ei	ei	ei	DEM
mUrCAtA	m	mU	mUr	mUrC	A	tA	AtA	CAtA	NN
yaxi	y	ya	yax	yaxi	i	xi	axi	yaxi	CC
nA	n	nA	nA	nA	A	nA	nA	nA	NEG
BAfgiwa	B	BA	BAf	BAfg	a	wa	iwa	giwa	VM

nijera	n	ni	nij	nije	a	ra	era	jera	PRP
hAwe	h	hA	hAw	hAwe	e	we	Awe	hAwe	NN
nijeke	n	ni	nij	nije	e	ke	eke	jeke	PRP
hawyA	h	ha	haw	hawy	A	yA	wyA	awyA	NN
karibAra	k	ka	kar	kari	a	ra	Ara	bAra	VM
bIBasawAke	b	bI	bIB	bIBa	e	ke	Ake	wAke	NN
se	s	se	se	se	e	se	se	se	PRP
mane	m	ma	man	mane	e	ne	ane	mane	NN
sWAna	s	sW	sWA	sWAn	a	na	Ana	WAna	NN
xiweo	x	xi	xiw	xiwe	o	eo	weo	iweo	VM
pAre	p	pA	pAr	pAre	e	re	Are	pAre	VAUX
nA	n	nA	nA	nA	A	nA	nA	nA	NEG
kinwu	k	ki	kin	kinw	u	wu	nwu	inwu	CC
emani	e	em	ema	eman	i	ni	ani	mani	DEM
kona	k	ko	kon	kona	a	na	ona	kona	QF
SAnwa	S	SA	SAn	SAnw	a	wa	nwa	Anwa	JJ
sbABAbika	s	sb	sbA	sbAB	a	ka	ika	bika	JJ
mqwyu	m	mq	mqw	mqwy	u	yu	wyu	qwyu	NN
haTA	h	ha	haT	haTA	A	TA	aTA	haTA	RB
jFAna	j	jF	jFA	jFAn	a	na	Ana	FAna	NN
hArAiyZA	h	hA	hAr	hArA	A	ZA	yZA	iyZA	VM
GumAiyZA	G	Gu	Gum	GumA	A	ZA	yZA	iyZA	NN
padZA	p	pa	pad	padZ	A	ZA	dZA	adZA	VM
wAra	w	wA	wAr	wAra	a	ra	Ara	wAra	PRP
