behArA	b	be	beh	behA	A	rA	ArA	hArA	NN
baliyZACila	b	ba	bal	bali	a	la	ila	Cila	VM
bAbu	b	bA	bAb	bAbu	u	bu	Abu	bAbu	NN
Piribena	P	Pi	Pir	Piri	a	na	ena	bena	VM
paraSu	p	pa	par	para	u	Su	aSu	raSu	NN
kiMbA	k	ki	kiM	kiMb	A	bA	MbA	iMbA	CC
waraSu	w	wa	war	wara	u	Su	aSu	raSu	NN
kiMbA	k	ki	kiM	kiMb	A	bA	MbA	iMbA	CC
wAhAra	w	wA	wAh	wAhA	a	ra	Ara	hAra	PRP
parera	p	pa	par	pare	a	ra	era	rera	NST
xina	x	xi	xin	xina	a	na	ina	xina	NN
niScayZa	n	ni	niS	niSc	a	Za	yZa	ayZa	RB

kinwu	k	ki	kin	kinw	u	wu	nwu	inwu	CC
ei	e	ei	ei	ei	i	ei	ei	ei	DEM
wAhAra	w	wA	wAh	wAhA	a	ra	Ara	hAra	PRP
parera	p	pa	par	pare	a	ra	era	rera	NN
xinera	x	xi	xin	xine	a	ra	era	nera	NN
niScayZawAke	n	ni	niS	niSc	e	ke	Ake	wAke	RB
samaswaxina	s	sa	sam	sama	a	na	ina	xina	NN
XariyZA	X	Xa	Xar	Xari	A	ZA	yZA	iyZA	PSP
parIkRA	p	pa	par	parI	A	RA	kRA	IkRA	NN
karibAra	k	ka	kar	kari	a	ra	Ara	bAra	VM
mawa	m	ma	maw	mawa	a	wa	awa	mawa	PSP
Sakwi	S	Sa	Sak	Sakw	i	wi	kwi	akwi	NN
Ara	A	Ar	Ara	Ara	a	ra	Ara	Ara	CC
acalAra	a	ac	aca	acal	a	ra	Ara	lAra	NN
Cila	C	Ci	Cil	Cila	a	la	ila	Cila	VM
nA	n	nA	nA	nA	A	nA	nA	nA	NEG

ei	e	ei	ei	ei	i	ei	ei	ei	DEM
winaxinera	w	wi	win	wina	a	ra	era	nera	NN
maXye	m	ma	maX	maXy	e	ye	Xye	aXye	NST
rAmabAbu	r	rA	rAm	rAma	u	bu	Abu	bAbu	NNP
ekaxinao	e	ek	eka	ekax	o	ao	nao	inao	NN
Asena	A	As	Ase	Asen	a	na	ena	sena	VM
nAi	n	nA	nAi	nAi	i	Ai	nAi	nAi	NEG

wAzhAra	w	wA	wAz	wAzh	a	ra	Ara	hAra	PRP
AsAtAke	A	As	AsA	AsAt	e	ke	Ake	tAke	VM
se	s	se	se	se	e	se	se	se	DEM
sarbAnwaHkaraNe	s	sa	sar	sarb	e	Ne	aNe	raNe	NN
BayZa	B	Ba	Bay	BayZ	a	Za	yZa	ayZa	NN
kariyZACe	k	ka	kar	kari	e	Ce	ACe	ZACe	VM
aWaca	a	aW	aWa	aWac	a	ca	aca	Waca	CC
ei	e	ei	ei	ei	i	ei	ei	ei	DEM
nA	n	nA	nA	nA	A	nA	nA	nA	NEG
AsAra	A	As	AsA	AsAr	a	ra	Ara	sAra	VM
nihiwa	n	ni	nih	nihi	a	wa	iwa	hiwa	JJ
arWake	a	ar	arW	arWa	e	ke	ake	Wake	NN
kalpanA	k	ka	kal	kalp	A	nA	anA	panA	NN
kariyZAo	k	ka	kar	kari	o	Ao	ZAo	yZAo	VM
wAhAra	w	wA	wAh	wAhA	a	ra	Ara	hAra	PRP
xeha	x	xe	xeh	xeha	a	ha	eha	xeha	NN
kATa	k	kA	kAT	kATa	a	Ta	ATa	kATa	NN
haiyZA	h	ha	hai	haiy	A	ZA	yZA	iyZA	VM
giyZACe	g	gi	giy	giyZ	e	Ce	ACe	ZACe	VAUX

wini	w	wi	win	wini	i	ni	ini	wini	PRP
asusWa	a	as	asu	asus	a	Wa	sWa	usWa	JJ
Cilena	C	Ci	Cil	Cile	a	na	ena	lena	VM
ebaM	e	eb	eba	ebaM	M	aM	baM	ebaM	CC
iwimaXye	i	iw	iwi	iwim	e	ye	Xye	aXye	RB
pIdZA	p	pI	pId	pIdZ	A	ZA	dZA	IdZA	NN
ye	y	ye	ye	ye	e	ye	ye	ye	DEM
bAdZiweo	b	bA	bAd	bAdZ	o	eo	weo	iweo	NN
pAre	p	pA	pAr	pAre	e	re	Are	pAre	VM
e	e	e	e	e	e	e	e	e	DEM
kaWA	k	ka	kaW	kaWA	A	WA	aWA	kaWA	NN
wAhAra	w	wA	wAh	wAhA	a	ra	Ara	hAra	PRP
maneo	m	ma	man	mane	o	eo	neo	aneo	NN
uxayZa	u	ux	uxa	uxay	a	Za	yZa	ayZa	VM
hayZa	h	ha	hay	hayZ	a	Za	yZa	ayZa	VAUX
nAi	n	nA	nAi	nAi	i	Ai	nAi	nAi	NEG

kebala	k	ke	keb	keba	a	la	ala	bala	RB
Aja	A	Aj	Aja	Aja	a	ja	Aja	Aja	NN
sakAle	s	sa	sak	sakA	e	le	Ale	kAle	NN
o-bAdZira	o	o-	o-b	o-bA	a	ra	ira	Zira	JJ
xaroyZAna	x	xa	xar	xaro	a	na	Ana	ZAna	NN
AsiyZACila	A	As	Asi	Asiy	a	la	ila	Cila	VM
kinwu	k	ki	kin	kinw	u	wu	nwu	inwu	CC
Biware	B	Bi	Biw	Biwa	e	re	are	ware	NST
prabeSa	p	pr	pra	prab	a	Sa	eSa	beSa	NN
nA	n	nA	nA	nA	A	nA	nA	nA	NEG
kariyZA	k	ka	kar	kari	A	ZA	yZA	iyZA	VM
bAhire	b	bA	bAh	bAhi	e	re	ire	hire	NN
pAzdZejira	p	pA	pAz	pAzd	a	ra	ira	jira	NN
nikata	n	ni	nik	nika	a	ta	ata	kata	NST
haiwei	h	ha	hai	haiw	i	ei	wei	iwei	PSP
bixAyZa	b	bi	bix	bixA	a	Za	yZa	AyZa	NN
laiyZA	l	la	lai	laiy	A	ZA	yZA	iyZA	VM
PiriyZA	P	Pi	Pir	Piri	A	ZA	yZA	iyZA	VM
giyZACe	g	gi	giy	giyZ	e	Ce	ACe	ZACe	VAUX

se	s	se	se	se	e	se	se	se	PRP
kena	k	ke	ken	kena	a	na	ena	kena	WQ
AsiyZACila	A	As	Asi	Asiy	a	la	ila	Cila	VM
ki	k	ki	ki	ki	i	ki	ki	ki	WQ
Kabara	K	Ka	Kab	Kaba	a	ra	ara	bara	NN
laiyZA	l	la	lai	laiy	A	ZA	yZA	iyZA	VM
gela	g	ge	gel	gela	a	la	ela	gela	VAUX
kona	k	ko	kon	kona	a	na	ona	kona	QF
kaWA	k	ka	kaW	kaWA	A	WA	aWA	kaWA	NN
acalA	a	ac	aca	acal	A	lA	alA	calA	JJ
BayZe	B	Ba	Bay	BayZ	e	Ze	yZe	ayZe	NN
kAhAkeo	k	kA	kAh	kAhA	o	eo	keo	Akeo	NN
jijFAsA	j	ji	jij	jijF	A	sA	AsA	FAsA	NN
paryanwa	p	pa	par	pary	a	wa	nwa	anwa	PSP
kariwe	k	ka	kar	kari	e	we	iwe	riwe	VM
pArila	p	pA	pAr	pAri	a	la	ila	rila	VAUX
nA	n	nA	nA	nA	A	nA	nA	nA	NEG
kinwu	k	ki	kin	kinw	u	wu	nwu	inwu	CC
wAhAra	w	wA	wAh	wAhA	a	ra	Ara	hAra	PRP
para	p	pa	par	para	a	ra	ara	para	NST
haiwei	h	ha	hai	haiw	i	ei	wei	iwei	PSP
ei	e	ei	ei	ei	i	ei	ei	ei	DEM
bAdZi	b	bA	bAd	bAdZ	i	Zi	dZi	AdZi	NN
GaraxbAra	G	Ga	Gar	Gara	a	ra	Ara	bAra	NN
ei-saba	e	ei	ei-	ei-s	a	ba	aba	saba	QF
lokajana	l	lo	lok	loka	a	na	ana	jana	NN
samaswa	s	sa	sam	sama	a	wa	swa	aswa	QF
haiwe	h	ha	hai	haiw	e	we	iwe	aiwe	PSP
CutiyZA	C	Cu	Cut	Cuti	A	ZA	yZA	iyZA	NN
palAiwe	p	pa	pal	palA	e	we	iwe	Aiwe	VM
pArile	p	pA	pAr	pAri	e	le	ile	rile	VAUX
bAzce	b	bA	bAz	bAzc	e	ce	zce	Azce	NN
wAhAra	w	wA	wAh	wAhA	a	ra	Ara	hAra	PRP
emani	e	em	ema	eman	i	ni	ani	mani	PRP
mane	m	ma	man	mane	e	ne	ane	mane	NN
haiwe	h	ha	hai	haiw	e	we	iwe	aiwe	VM
lAgila	l	lA	lAg	lAgi	a	la	ila	gila	VAUX

behArAke	b	be	beh	behA	e	ke	Ake	rAke	NN
dAkiyZA	d	dA	dAk	dAki	A	ZA	yZA	iyZA	VM
kahila	k	ka	kah	kahi	a	la	ila	hila	VAUX
raGubIra	r	ra	raG	raGu	a	ra	Ira	bIra	NNP
womAra	w	wo	wom	womA	a	ra	Ara	mAra	PRP
bAdZi	b	bA	bAd	bAdZ	i	Zi	dZi	AdZi	NN
wa	w	wa	wa	wa	a	wa	wa	wa	NN
ei	e	ei	ei	ei	i	ei	ei	ei	DEM
xike	x	xi	xik	xike	e	ke	ike	xike	NN
wumi	w	wu	wum	wumi	i	mi	umi	wumi	PRP
mAJuli	m	mA	mAJ	mAJu	i	li	uli	Juli	NN
grAmatA	g	gr	grA	grAm	A	tA	atA	matA	NN
jAno	j	jA	jAn	jAno	o	no	Ano	jAno	VM

se	s	se	se	se	e	se	se	se	DEM
kahila	k	ka	kah	kahi	a	la	ila	hila	NN
anekakAla	a	an	ane	anek	a	la	Ala	kAla	NN
pUrbe	p	pU	pUr	pUrb	e	be	rbe	Urbe	NST
ekabAra	e	ek	eka	ekab	a	ra	Ara	bAra	NN
bariyZAwa	b	ba	bar	bari	a	wa	Awa	ZAwa	NN
giyZeCilAma	g	gi	giy	giyZ	a	ma	Ama	lAma	VM
mAijI	m	mA	mAi	mAij	I	jI	ijI	AijI	NNP

kawaxUra	k	ka	kaw	kawa	a	ra	Ura	xUra	WQ
habe	h	ha	hab	habe	e	be	abe	habe	VM
balawe	b	ba	bal	bala	e	we	awe	lawe	VM
pAro	p	pA	pAr	pAro	o	ro	Aro	pAro	VAUX

raGubIra	r	ra	raG	raGu	a	ra	Ira	bIra	NNP
exeSera	e	ex	exe	exeS	a	ra	era	Sera	NN
loka	l	lo	lok	loka	a	ka	oka	loka	NN
haileo	h	ha	hai	hail	o	eo	leo	ileo	VM
bahuxina	b	ba	bah	bahu	a	na	ina	xina	NN
bAfAlIra	b	bA	bAf	bAfA	a	ra	Ira	lIra	NN
saMsrabe	s	sa	saM	saMs	e	be	abe	rabe	NN
wAhAra	w	wA	wAh	wAhA	a	ra	Ara	hAra	PRP
anekatA	a	an	ane	anek	A	tA	atA	katA	QF
hisAbaboXa	h	hi	his	hisA	a	Xa	oXa	boXa	NN
janmiyZACila	j	ja	jan	janm	a	la	ila	Cila	VM
se	s	se	se	se	e	se	se	se	PRP
mane	m	ma	man	mane	e	ne	ane	mane	NN
mane	m	ma	man	mane	e	ne	ane	mane	RDP
AnxAja	A	An	Anx	AnxA	a	ja	Aja	xAja	NN
kariyZA	k	ka	kar	kari	A	ZA	yZA	iyZA	VM
kahila	k	ka	kah	kahi	a	la	ila	hila	JJ
kroSa	k	kr	kro	kroS	a	Sa	oSa	roSa	NN
CayZa-sAwera	C	Ca	Cay	CayZ	a	ra	era	wera	NN
kama	k	ka	kam	kama	a	ma	ama	kama	JJ
nayZa	n	na	nay	nayZ	a	Za	yZa	ayZa	VM
mAijI	m	mA	mAi	mAij	I	jI	ijI	AijI	NN

Aja	A	Aj	Aja	Aja	a	ja	Aja	Aja	NN
wumi	w	wu	wum	wumi	i	mi	umi	wumi	PRP
AmAra	A	Am	AmA	AmAr	a	ra	Ara	mAra	PRP
safge	s	sa	saf	safg	e	ge	fge	afge	NST
yewe	y	ye	yew	yewe	e	we	ewe	yewe	VM
pAro	p	pA	pAr	pAro	o	ro	Aro	pAro	VAUX

raGubIra	r	ra	raG	raGu	a	ra	Ira	bIra	NNP
BayZAnaka	B	Ba	Bay	BayZ	a	ka	aka	naka	NN
AScarya	A	AS	ASc	ASca	a	ya	rya	arya	JJ
haiyZA	h	ha	hai	haiy	A	ZA	yZA	iyZA	VM
balila	b	ba	bal	bali	a	la	ila	lila	VM
wumi	w	wu	wum	wumi	i	mi	umi	wumi	PRP
yAbe	y	yA	yAb	yAbe	e	be	Abe	yAbe	VM

seKAne	s	se	seK	seKA	e	ne	Ane	KAne	PRP
ye	y	ye	ye	ye	e	ye	ye	ye	DEM
BArI	B	BA	BAr	BArI	I	rI	ArI	BArI	JJ
pilegera	p	pi	pil	pile	a	ra	era	gera	NN
bemArI	b	be	bem	bemA	I	rI	ArI	mArI	JJ

acalA	a	ac	aca	acal	A	lA	alA	calA	JJ
kahila	k	ka	kah	kahi	a	la	ila	hila	NN
wumi	w	wu	wum	wumi	i	mi	umi	wumi	PRP
nA	n	nA	nA	nA	A	nA	nA	nA	NEG
yewe	y	ye	yew	yewe	e	we	ewe	yewe	VM
pAro	p	pA	pAr	pAro	o	ro	Aro	pAro	VAUX
Ara	A	Ar	Ara	Ara	a	ra	Ara	Ara	CC
kona	k	ko	kon	kona	a	na	ona	kona	QF
cAkarake	c	cA	cAk	cAka	e	ke	ake	rake	NN
rAji	r	rA	rAj	rAji	i	ji	Aji	rAji	NN
kariyZe	k	ka	kar	kari	e	Ze	yZe	iyZe	VM
xiwe	x	xi	xiw	xiwe	e	we	iwe	xiwe	VAUX
pAro	p	pA	pAr	pAro	o	ro	Aro	pAro	VAUX

se	s	se	se	se	e	se	se	se	PRP
yA	y	yA	yA	yA	A	yA	yA	yA	PRP
bakaSiSa	b	ba	bak	baka	a	Sa	iSa	SiSa	VM
cAyZa	c	cA	cAy	cAyZ	a	Za	yZa	AyZa	VAUX
Ami	A	Am	Ami	Ami	i	mi	Ami	Ami	PRP
xebo	x	xe	xeb	xebo	o	bo	ebo	xebo	VM

raGubIra	r	ra	raG	raGu	a	ra	Ira	bIra	NNP
kRuNNa	k	kR	kRu	kRuN	a	Na	NNa	uNNa	JJ
haiyZA	h	ha	hai	haiy	A	ZA	yZA	iyZA	VM
kahila	k	ka	kah	kahi	a	la	ila	hila	JJ
mAijI	m	mA	mAi	mAij	I	jI	ijI	AijI	NN
wumi	w	wu	wum	wumi	i	mi	umi	wumi	PRP
yena	y	ye	yen	yena	a	na	ena	yena	RP
pArabe	p	pA	pAr	pAra	e	be	abe	rabe	VM
Ara	A	Ar	Ara	Ara	a	ra	Ara	Ara	CC
Ami	A	Am	Ami	Ami	i	mi	Ami	Ami	PRP
pAraba	p	pA	pAr	pAra	a	ba	aba	raba	VM
nA	n	nA	nA	nA	A	nA	nA	nA	NEG

kinwu	k	ki	kin	kinw	u	wu	nwu	inwu	CC
rAswA	r	rA	rAs	rAsw	A	wA	swA	AswA	NN
nei	n	ne	nei	nei	i	ei	nei	nei	VM
AmAxera	A	Am	AmA	AmAx	a	ra	era	xera	PRP
BArI	B	BA	BAr	BArI	I	rI	ArI	BArI	JJ
gAdZi	g	gA	gAd	gAdZ	i	Zi	dZi	AdZi	NN
wa	w	wa	wa	wa	a	wa	wa	wa	NN
yAbe	y	yA	yAb	yAbe	e	be	Abe	yAbe	VM
nA	n	nA	nA	nA	A	nA	nA	nA	NEG

ekkA	e	ek	ekk	ekkA	A	kA	kkA	ekkA	NN
kiMbA	k	ki	kiM	kiMb	A	bA	MbA	iMbA	CC
KAtuli	K	KA	KAt	KAtu	i	li	uli	tuli	NN
wAra	w	wA	wAr	wAra	a	ra	Ara	wAra	PRP
konatAwei	k	ko	kon	kona	i	ei	wei	Awei	QF
wa	w	wa	wa	wa	a	wa	wa	wa	NN
wumi	w	wu	wum	wumi	i	mi	umi	wumi	PRP
yewe	y	ye	yew	yewe	e	we	ewe	yewe	VM
pArabe	p	pA	pAr	pAra	e	be	abe	rabe	VAUX
nA	n	nA	nA	nA	A	nA	nA	nA	NEG
mAijI	m	mA	mAi	mAij	I	jI	ijI	AijI	NN

acalA	a	ac	aca	acal	A	lA	alA	calA	JJ
kahila	k	ka	kah	kahi	a	la	ila	hila	NN
yA	y	yA	yA	yA	A	yA	yA	yA	PRP
jote	j	jo	jot	jote	e	te	ote	jote	VM
Ami	A	Am	Ami	Ami	i	mi	Ami	Ami	PRP
wAwei	w	wA	wAw	wAwe	i	ei	wei	Awei	PRP
yewe	y	ye	yew	yewe	e	we	ewe	yewe	VM
pArabo	p	pA	pAr	pAra	o	bo	abo	rabo	VAUX

kinwu	k	ki	kin	kinw	u	wu	nwu	inwu	CC
Ara	A	Ar	Ara	Ara	a	ra	Ara	Ara	CC
wa	w	wa	wa	wa	a	wa	wa	wa	NN
xeri	x	xe	xer	xeri	i	ri	eri	xeri	NN
karale	k	ka	kar	kara	e	le	ale	rale	VM
calabe	c	ca	cal	cala	e	be	abe	labe	VM
nA	n	nA	nA	nA	A	nA	nA	nA	NEG
raGubIra	r	ra	raG	raGu	a	ra	Ira	bIra	NN

wumi	w	wu	wum	wumi	i	mi	umi	wumi	PRP
yA	y	yA	yA	yA	A	yA	yA	yA	PRP
pAo	p	pA	pAo	pAo	o	Ao	pAo	pAo	NN
ekatA	e	ek	eka	ekat	A	tA	atA	katA	QC
niyZe	n	ni	niy	niyZ	e	Ze	yZe	iyZe	PSP
eso	e	es	eso	eso	o	so	eso	eso	VM

raGubIra	r	ra	raG	raGu	a	ra	Ira	bIra	NNP
Ara	A	Ar	Ara	Ara	a	ra	Ara	Ara	CC
warka	w	wa	war	wark	a	ka	rka	arka	NN
nA	n	nA	nA	nA	A	nA	nA	nA	NEG
kariyZA	k	ka	kar	kari	A	ZA	yZA	iyZA	VM
alpakAlera	a	al	alp	alpa	a	ra	era	lera	NN
maXyei	m	ma	maX	maXy	i	ei	yei	Xyei	NST
ekatA	e	ek	eka	ekat	A	tA	atA	katA	QC
KAtuli	K	KA	KAt	KAtu	i	li	uli	tuli	NN
saMgraha	s	sa	saM	saMg	a	ha	aha	raha	NN
kariyZA	k	ka	kar	kari	A	ZA	yZA	iyZA	VM
Anila	A	An	Ani	Anil	a	la	ila	nila	VAUX
